address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
34th Ave,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/190847439_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
35th St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/190858385_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
11th St,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/239577591_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
40th Ave,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/240497781_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Jackson Ave # 12D,LONG ISLAND CITY,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/242724842_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
50th Ave APT 5B,Long Island City,NY,11101,NA,NA,NA,NA,NA,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/241618428_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
2542 18th St,Long Island City,NY,11102,1350000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2542-18th-St-Long-Island-City-NY-11102/31948796_zpid/
2322 30th Rd # 21,Astoria,NY,11102,45000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2322-30th-Rd-21-Astoria-NY-11102/2091822700_zpid/
2716 23rd St # 6,Astoria,NY,11102,1980000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2716-23rd-St-6-Astoria-NY-11102/2091849420_zpid/
2617 12th St,Long Island City,NY,11102,1299000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2617-12th-St-Long-Island-City-NY-11102/31948938_zpid/
3111 Newtown Ave # 6,Astoria,NY,11102,8200000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3111-Newtown-Ave-6-Astoria-NY-11102/2091833306_zpid/
2322 30th Rd APT 4C,Long Island City,NY,11102,579000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2322-30th-Rd-APT-4C-Long-Island-City-NY-11102/31937932_zpid/
1436 30th Rd,Long Island City,NY,11102,988800,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1436-30th-Rd-Long-Island-City-NY-11102/31937306_zpid/
2310 30th Dr # 1,Astoria,NY,11102,1495000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2310-30th-Dr-1-Astoria-NY-11102/2092036086_zpid/
2304 30th Ave # 23-4,Astoria,NY,11102,1580000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2304-30th-Ave-23-4-Astoria-NY-11102/2092053749_zpid/
2540 Shore Blvd APT 11P,Astoria,NY,11102,430000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2540-Shore-Blvd-APT-11P-Astoria-NY-11102/2091969870_zpid/
3045 23rd St,Astoria,NY,11102,1250000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/3045-23rd-St-Astoria-NY-11102/2101941035_zpid/
(Undisclosed Address),Astoria,NY,11102,1688000,NA,NA,NA,NA,Townhouse For Sale,http://www.zillow.com/homes/for_sale//homedetails/(Undisclosed-Address)-Astoria-NY-11102/2096513507_zpid/
928 Main Ave,Long Island City,NY,11102,850000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/928-Main-Ave-Long-Island-City-NY-11102/31936879_zpid/
2531 27th St,Long Island City,NY,11102,1575000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2531-27th-St-Long-Island-City-NY-11102/31946062_zpid/
1424 30th Ave,Long Island City,NY,11102,1500000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/1424-30th-Ave-Long-Island-City-NY-11102/31937343_zpid/
3018 23rd St # 8,Astoria,NY,11102,3650000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/3018-23rd-St-8-Astoria-NY-11102/2093060233_zpid/
3079 32nd St APT 1R,Astoria,NY,11102,710000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3079-32nd-St-APT-1R-Astoria-NY-11102/2108072492_zpid/
3079 32nd St,Long Island City,NY,11102,589000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/3079-32nd-St-Long-Island-City-NY-11102/112509955_zpid/
1149 Welling Ct,Astoria,NY,11102,2199000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/1149-Welling-Ct-Astoria-NY-11102/2139883624_zpid/
1424 30th Ave # 1-2,Astoria,NY,11102,1500000,NA,NA,NA,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/1424-30th-Ave-1-2-Astoria-NY-11102/2092163587_zpid/
2339 30th Dr # 3,Astoria,NY,11102,1575000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2339-30th-Dr-3-Astoria-NY-11102/2092281543_zpid/
2542 22nd St,Long Island City,NY,11102,1229000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2542-22nd-St-Long-Island-City-NY-11102/31948229_zpid/
2631 3rd St,Astoria,NY,11102,3400000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/2631-3rd-St-Astoria-NY-11102/2139219553_zpid/
2606 24th Ave,Long Island City,NY,11102,1900000,NA,NA,NA,NA,Apartment For Sale,http://www.zillow.com/homes/for_sale//homedetails/2606-24th-Ave-Long-Island-City-NY-11102/31946486_zpid/
2618 14th Pl,Long Island City,NY,11102,1599000,NA,NA,NA,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2618-14th-Pl-Long-Island-City-NY-11102/31948928_zpid/
